Txirrindulari Sailkapena,,,
Posizioa,Txirrindularia,Zenbatek,Puntuak
74,ANDRESEN Tobias Lund ,0,240
75,VERMEERSCH Gianni ,0,225
76,MOHORIČ Matej ,30,225
77,AYUSO Juan ,0,225
78,HOFSTETTER Hugo ,0,225
79,PEDERSEN Casper ,1,220
80,BARRENETXEA Jon ,0,215
81,ROGLIČ Primož ,3,215
82,LAURANCE Axel ,2,200
83,EULÁLIO Afonso ,0,190
84,BILBAO Pello ,15,180
85,VAN POPPEL Danny ,0,180
86,DÉMARE Arnaud ,1,175
87,VAN MOER Brent ,0,175
88,DEL GROSSO Tibor ,0,170
89,LAPEIRA Paul ,2,160
90,GARCÍA CORTINA Iván ,1,160
91,VINE Jay ,0,160
92,SCHMID Mauro ,0,159
93,GROENEWEGEN Dylan ,0,155
94,SCARONI Christian ,0,155
95,LAPORTE Christophe ,20,150
96,CHARMIG Anthon ,0,150
97,DUJARDIN Sandy ,0,141
98,BUITRAGO Santiago ,2,140
99,MENTEN Milan ,0,140
100,PLUIMERS Rick ,0,140
101,IZAGIRRE Ion ,1,135
102,PAGE Hugo ,0,135
103,ONLEY Oscar ,0,135
104,KUBIŠ Lukáš ,0,130
105,BERCKMOES Jenno ,0,125
106,JOHANNESSEN Tobias Halland ,1,125
107,CHRISTEN Fabio ,0,123
108,DE GENDT Aimé ,0,120
109,GRUEL Thibaud ,0,120
110,WATSON Samuel ,0,120
111,WANDAHL Frederik ,0,120
112,PLAPP Luke ,0,120
113,BLIKRA Erlend ,0,120
114,KANTER Max ,0,115
115,PITHIE Laurence ,10,110
116,HONORÉ Mikkel Frølich ,0,105
117,VALGREN Michael ,0,100
118,TURGIS Anthony ,0,100
119,ALLEGAERT Piet ,0,95
120,OLDANI Stefano ,0,95
121,DE BONDT Dries ,0,95
122,HALLER Marco ,0,95
123,HIRSCHI Marc ,41,90
124,VAN DEN BERG Marijn ,1,85
125,RUBIO Einer ,0,85
126,PRADES Eduard ,0,85
127,LOUVEL Matis ,0,80
128,VAN EETVELT Lennert ,24,80
129,LANDA Mikel ,1,76
130,ALBANESE Vincenzo ,0,75
131,COVI Alessandro ,0,75
132,TEJADA Harold ,0,75
133,LIVYNS Arjen ,0,75
134,BLACKMORE Joseph ,0,72
135,BITTNER Pavel ,0,70
136,DEGENKOLB John ,0,70
137,NARVÁEZ Jhonatan ,25,70
138,JOHANNESSEN Anders Halland ,0,70
139,MEURISSE Xandro ,0,68
140,ADRIÀ Roger ,6,68
141,VERSTRYNGE Emiel,0,65
142,PEDERSEN Rasmus Søjberg ,0,65
143,ANIOŁKOWSKI Stanisław ,0,60
144,CEPEDA Jefferson Alexander ,0,60
145,MADOUAS Valentin ,19,60
146,VACEK Mathias ,4,60
147,DENZ Nico ,0,60
148,PICKRELL Riley ,0,60
149,VERNON Ethan ,0,60
150,MARTIN Guillaume ,0,56
151,ASKEY Lewis ,0,50
